name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
Renault KWID RXT Optional,2016,280000,23000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2017,350000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2014,204999,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Indica Vista Aqua TDI BSIII,2009,150000,30000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Toyota Corolla Altis 1.8 J,2008,400000,35000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Swift Dzire VDI,2016,284000,40000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2018,300000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2018,300000,16584,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 2019-2020 XE Diesel,2016,385000,38000,Diesel,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 1.05 Revotorq XE,2016,381000,38000,Diesel,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2015,250999,35000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 1.05 Revotorq XE,2016,380000,38000,Diesel,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Omni 8 Seater BSIV,2013,170000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2019,295000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL,2019,375000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXI,2003,60000,5000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R AX,2012,300000,30000,Petrol,Individual,Automatic,Second Owner,,,,,,,,,,,,,,,
Honda Brio S MT,2012,285000,39039,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON D Lite Plus,2015,250000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2017,300000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI CNG,2016,350000,30000,CNG,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Chevrolet Sail Hatchback 1.2 LS,2016,250000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO S,2016,270000,22000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Zen Estilo VXI BSIV,2011,280000,33000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti A-Star Vxi,2010,180000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano Cx BSIV,2011,75000,9528,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Omni E MPI STD BS IV,2017,215000,34000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 Base,2014,175000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2016,280000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2015,295000,21000,Petrol,Dealer,Manual,Second Owner,,,,,,,,,,,,,,,
Datsun GO Plus T BSIV,2015,380000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 Std BSII,2006,90000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto K10 2010-2014 VXI,2011,200000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,110000,38500,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON D Lite,2016,210000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 1.2 Revotron XE,2016,300000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 Base,2012,250000,8000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Nissan Micra Active XV S,2013,164000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXI,2005,56000,23000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai Verna 1.6 VTVT,2010,190000,38000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO Plus T,2017,350000,10171,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2017,250000,19000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2014,275000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2016,350000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LX BS IV,2014,350000,40000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2018,305000,35000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Omni E MPI STD BS IV,2018,288000,20000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco Smiles 5 Seater AC,2014,325000,30000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Omni E MPI STD BS IV,2016,240000,5800,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2018,270000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON D Lite,2016,210000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i20 Magna Optional 1.2,2013,340000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL,2019,265000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Mahindra Renault Logan 1.6 Petrol GLSX,2009,200000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto VXi,2015,280000,26134,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000,28643,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI AGS,2015,281000,4432,Petrol,Dealer,Automatic,Second Owner,,,,,,,,,,,,,,,
Hyundai Grand i10 Sportz,2014,400000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON 1.0 Era Plus,2019,400000,5000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i20 1.2 Era,2010,250000,34500,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti A-Star Lxi,2009,145000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Spark 1.0 LT,2013,240000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2016,350000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Nissan Micra XL,2011,275000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI AGS,2017,375000,27289,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2016,320000,24662,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Magna,2014,355000,39227,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2008,221000,35008,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Santro Xing GLS,2009,195000,27005,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2015,114999,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Indigo GLX,2006,75000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,300000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Ford Ikon 1.6 ZXI NXt,2005,20000,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Ford Ikon 1.3 Flair,2005,61000,4637,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Swift 1.3 DLX,2015,270000,40000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,300000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco 5 Seater AC BSIV,2018,300000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID AMT,2017,355000,40000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi,2008,114999,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi BSIII,2008,105000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2011,170000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Eeco 7 Seater Standard BSIV,2017,260000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Honda Amaze EX i-Dtech,2015,290000,40000,Diesel,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Tata Zest Revotron 1.2T XE,2016,380000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2018,229999,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2018,245000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Grand i10 Sportz,2016,375000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi,2007,75000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 Std Optional,2019,240000,5000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Getz GLS ABS,2005,71000,22000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift VXI Optional,2015,400000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi BSIII,2008,130000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2016,350000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Nissan Micra XL,2013,363000,28740,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2015,280000,15000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R AMT VXI Option,2018,370000,15000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LX,2017,280000,37000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Sail 1.2 Base,2014,290000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Ford Classic 1.6 Duratec LXI,2011,265000,20000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Zen Estilo LXI BSIII,2008,105000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Honda Jazz VX,2011,385000,11473,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2014,260000,37605,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.2 AT,2013,330000,38000,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2016,300000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2014,200000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI Plus Optional,2017,380000,19000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI Plus Optional,2017,380000,19000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift Dzire VDI,2014,254999,30000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Celerio VXI,2015,300000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco 5 Seater AC BSIV,2018,300000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift VVT VXI,2017,400000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i20 Sportz Petrol,2010,250000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2020,347000,5000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXE,2018,245000,5550,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai i20 Magna,2010,250000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 AC BSII,2004,55000,35000,Petrol,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Hyundai Santro Magna AMT BSIV,2019,400000,16000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2020,310000,1700,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2018,310000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi,2012,180000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Nano Lx BSIV,2012,45000,35000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus Option,2016,250000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Indigo TDI,2012,200000,35000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LX,2016,150000,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai Verna CRDi SX ABS,2009,325000,25000,Diesel,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI,2016,375000,23000,Petrol,Dealer,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Zen Estilo LXI BSIII,2007,275000,10211,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO Plus Remix Limited Edition,2016,300000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2015,265000,32933,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano LX SE,2012,95000,20778,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano CX,2014,55000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2019,210000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,,,,,,,,,,
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Nissan Micra Diesel XV Premium,2013,210000,13770,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Ford Ikon 1.3 Flair,2005,61000,4637,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Zen LXi - BS III,2005,125000,34000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Sail Hatchback 1.3 TCDi,2015,281000,40000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2015,270000,20969,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Celerio VXI,2016,399000,20194,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 AC,2014,225000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2016,300000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO SV 1.0,2019,350000,1300,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO T BSIV,2014,280000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Era 1.1 iTech SE,2011,300000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2014,260000,38000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Nano Twist XT,2015,82000,19000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Mahindra Verito 1.5 D2 BSIII,2014,250000,30000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2015,310000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO T Option BSIV,2015,210000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco 7 Seater Standard BSIV,2018,270000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2018,300000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON 1.0 Era Plus,2017,280000,28838,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Sail LS ABS,2014,375000,40000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO T Option,2016,229999,37500,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON Sportz,2016,340000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 1.05 Revotorq XZ Plus,2018,400000,35000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI Optional,2015,260000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano Twist XE,2015,100000,23800,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2019,190000,5000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Toyota Corolla Altis 1.8 J,2008,400000,35000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 VXI,2020,210000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI Airbag,2012,210000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi,2009,150000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Celerio VXI,2016,380000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2015,250000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2016,375000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2018,300000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO Plus T Option BSIV,2015,295000,21000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco 5 Seater AC BSIV,2017,350000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,360000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 AC,2002,80000,40000,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,,,,,,,,,,
Tata Nano Cx BSIII,2010,70000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus Option,2018,320000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2017,350000,25000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO 1.0 S,2017,250000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift 1.2 DLX,2018,300000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2016,300000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Era,2012,280000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2019,400000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2016,300000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 AC Uniq,2009,110000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON Era,2011,254999,24000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 1.2 Revotron XT,2017,370000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT,2018,310000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2015,320000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Beat Diesel LT,2016,350000,35000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2017,300000,31489,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2017,280000,36000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift Dzire VDI,2014,185000,40000,Diesel,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2016,400000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Tiago 1.2 Revotron XZ,2018,360000,4000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Spark 1.0 LT,2010,180000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2018,231999,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO Plus T BSIV,2018,400000,4400,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai i10 Magna 1.1L,2014,295000,38500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz,2011,220000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Ford Classic 1.4 Duratorq LXI,2013,250000,35000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Verna 1.6 VTVT,2012,300000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Beat Diesel LT,2013,215000,20000,Diesel,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2012,245000,14987,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Tata New Safari DICOR 2.2 VX 4x2,2010,210000,34500,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON D Lite,2016,275000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2013,250000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Ford Fiesta Classic 1.6 Duratec CLXI,2012,350000,38000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2017,300000,13000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID RXE,2016,300000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Beat Diesel LT,2012,250000,40000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
